"review_id";"nickname";"review_content";"review_date";"review_level";"review_recom";"review_title";"review_view";"thumb_nail";"user_email";"user_image";"age"
54;"케이입니다";"ㄹㅇㄹㅇㄴㄹㅇㄹㅇㄹㅇㄴㄻㄴㅇㄹㅇㄴ라ㅗ라도랸ㅇ모랴ㅗ;ㄷ랴ㅐㄷㅈ모래;ㅓㅏ렁니이아ㅣㄴ아아ㅐㅔ안ㅐ아내ㅔ아ㅐㅔㅁ'ㅇ아ㅣ야ㅏ러ㅔㅐ더ㅑㅗ래ㅑㅈ도려ㅑ호ㅕㅑㄱ랴노여ㅑ조여로뎌ㅑ로ㅑㅈ대ㅗ;ㄹㅏ러ㅗㅑ리ㅗㅑ대;오배ㅗ야머우댜ㅣ롲댜호겨ㅑㅎㄱㄷ효ㅑㄷㅈ뢔멷ㄶ뎌ㅑㅗ겨ㅑ로ㅑ어;ㅈㄹ롲ㅕ뢰ㅐㅑ조려ㅕㅑㅀ셛죨혇ㄹ혀ㅓㅎ;ㅔㅓㅑ랴ㅘㅇ니어ㅏㅁ;ㅐ도햐개ㅕㄷ호ㅑㅐㄱㅎ로ㅑ로댜ㅐㅗㄹ뎌ㅑ로ㅕ댤히몆ㄷㄹㅏㅁ어ㅗ쟈;ㅐ로조래ㅑㄷ조랴ㅐ도혀햐ㅕㄹ";"2021-12-16 16:30:32";0;0;"매우 긴 후기글";0;"";"spacekay@kakao.com";"";0
55;"케이입니다";"I believe the children are out futurePreach them well, and let them lead the wayShow them all the beauty they possess insideLet the children's laughter remind us how we used to beEverybody's watching for a heroPeople need someone to look up toI decided long ago never to walk in anyone's shadow";"2021-12-16 16:38:40";0;0;"This is the test case for english text";6;"";"spacekay@kakao.com";"";0
56;"sisisi";"ggggdddd";"2021-12-16 16:41:11";0;0;"profile picture test";1;"/image/11";"sisi@sisi.com";"";0
57;"케이입니다";"<p>선호도 로직은 추구 싫어요 좋아요 비율로 할수도 있을 겁니다데이터가 충분히 쌓이고 나면</p><p><br></p><p><img src=""/image/79"" style=""width: 50%;""><br></p>";"2021-12-16 16:46:42";0;0;"다가 들어가는 후기가 10개 넘어야 하므로 글을 씁니다";16;"/image/79";"spacekay@kakao.com";"";0
58;"케이입니다";"<p>검색기능 구현용입니다.참고로 여기는 진짜 좋습니다~!!</p><p><br></p><p><img src=""/image/78"" style=""width: 50%;""><br></p>";"2021-12-16 16:48:19";0;0;"다 하나만더 기다!! 기다 후기다!";12;"/image/78";"spacekay@kakao.com";"";0
59;"sisisi";"ㅇㅇㅇ";"2021-12-16 16:54:18";0;0;"시시랑 놀기";3;"/image/13";"sisi@sisi.com";"/image/10";0
60;"sisisi";"가자가자 ~";"2021-12-16 17:04:09";0;0;"한번더 후기 갑니다용~";3;"";"sisi@sisi.com";"/image/10";0
61;"비회원";"ㅇㅇㅇㅇ";"2021-12-16 17:04:35";0;0;"불국사 여행";5;"";"anonymousUser";"";0
62;"jini";"좋아요!";"2021-12-17 11:52:14";0;0;"수원화성";5;"";"qqqq@naver.com";"";0
63;"jini";"봉녕사 좋아요!!!";"2021-12-17 11:55:00";0;0;"봉녕사";4;"/image/16";"qqqq@naver.com";"";0
64;"33333333";"123";"2021-12-17 12:57:59";0;0;"123";12;"";"333@333.333";"";0
65;"33333333";"123";"2021-12-17 12:58:51";0;0;"321";11;"";"333@333.333";"";0
67;"헬로준";"안뇽";"2021-12-20 10:08:13";0;0;"안뇽 ";8;"";"hello@hello.com";"/image/3";20
68;"헬로준";"helloddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd";"2021-12-20 11:11:59";0;0;"hello";49;"/image/23";"hello@hello.com";"/image/3";20
69;"헬로준";"검색을 해봐용ㅇㅇㅇㅇㅇㅇㅇㅇㅇ";"2021-12-20 12:24:17";0;0;"검색을 해보세요";14;"/image/26";"hello@hello.com";"/image/3";20
70;"헬로준";"잘됩니까?ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ";"2021-12-20 12:38:45";0;0;"잘되나요?";25;"";"hello@hello.com";"/image/3";20
71;"비회원";"도자기!!";"2021-12-20 13:24:46";0;0;"도자기가 좋아요~";24;"";"anonymousUser";"";0
72;"youngboy";"10대 여행객~";"2021-12-20 14:04:17";0;0;"나는야 10대~";15;"/image/31";"youngboy@123456.com";"/image/29";10
73;"youngboy";"요기가 월미도여~";"2021-12-20 14:06:15";0;0;"10대들은 인천으로..?";16;"/image/32";"youngboy@123456.com";"/image/29";10
74;"oldm";"관악산";"2021-12-20 14:36:27";0;0;"관악산";22;"/image/35";"oldm@oldmmm.com";"";70
75;"헬로준";"어디로 갈까dddddddddddddddddddddddddddddddd";"2021-12-20 14:49:43";0;0;"이번에는 어디로";92;"/image/42";"hello@hello.com";"/image/3";20
76;"케이케이";"<p>역시 말만큼 빡센 곳이었습니다.<span style=""color: rgb(69, 74, 95); font-family: Poppins, system-ui, -apple-system, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">&lt;script&gt;alert(""sfdsfdsfds"");&lt;/script&gt;</span></p><p><span style=""color: rgb(69, 74, 95); font-family: Poppins, system-ui, -apple-system, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;""><br></span></p><p><img src=""/image/77"" style=""width: 50%;""><span style=""color: rgb(69, 74, 95); font-family: Poppins, system-ui, -apple-system, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;""><br></span></p>";"2021-12-20 15:35:13";0;0;"엄청 험하다길래 걱정했어요";48;"/image/77";"spacekay@kakao.com";"";20
77;"청춘가객";"우리가 항상 마음에 새기고 가야 할 사항입니다...";"2021-12-20 15:55:45";0;0;"마음을 다스리는 것...";37;"/image/41";"old@love.com";"";70
79;"개성파시인";"멋진 여행이었습니다~~~ 다들 행복하세요~~~";"2021-12-20 16:47:58";0;0;"즐거운 하루 되세요~~~ *^^*";17;"/image/43";"different@love.com";"/image/14";40
80;"비회원";"된다고?";"2021-12-21 16:03:55";0;0;"설마?";1;"";"anonymousUser";"";0
81;"청춘가객";"마음을 경건하게..";"2021-12-21 16:15:01";0;0;"태산이 높다하니 하늘 아래 뫼이로다...";11;"/image/54";"old@love.com";"";70
82;"헬로준";"야생화~~~";"2021-12-21 16:22:40";0;0;"가야산을 향하여!!";1;"";"hello@hello.com";"/image/53";20
83;"케이케이";"즐거운 여행이었습니다!!!";"2021-12-21 16:35:43";0;0;"가족들과 즐거운 나들이!!";4;"https://www.ycg.kr/images/open.content/insect/main/exhibit.jpg";"spacekay@kakao.com";"/image/52";20
84;"boy";"<p>어디?ㅇ?ㅇ?ㅇㅇㅇㅇㅇㅇddddddddddd</p><p>ㅇ</p><p>ㅇ</p><p>ㅇ(여기는 아님)</p><p>ㅇ</p><p>ㅇ</p><p><br></p><p>ㅇㅇ</p><p><br></p>";"2021-12-21 17:21:33";0;0;"요긴어디<요기>";9;"";"boy@boy.com";"";20
85;"헬로준";"<p>시시와 함께 바닷가</p><p><br></p><p><img style=""width: 25%;"" src=""/image/63""><br></p>";"2021-12-23 14:18:50";0;0;"시시와 함께 바닷가";6;"/image/63";"hello@hello.com";"/image/53";20
86;"명사수";"<p><span style=""color: rgb(69, 74, 95); font-family: Poppins, system-ui, -apple-system, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">강남문화원은 개원 이래 30여 문화강좌를 개설하고 미술, 서예, 독서, 생활수기, 전통예술제를 비롯한 각종 문화행사를 통하여 구민이 한마음 되도록 하고 강남구를 문화의 고장으로 발전시켜 지역사회개발과 나라발전에 기여할 것을 목적으로 화합의 문화를 열어 가도록 노력하고 있다. 지역문화예술의 발전을 위해 역말도당제와 주민들의 문화욕구 충족을 위한 문화예술 강좌와 역사문화유적탐방을 하고 있다. 지역의 역사적 사료를 발굴하여 계승, 보존하기 위한 역사문화연구소를 운영하고, 문화 해설사를 양성하여 관내, 초,중학교에서 강남의 역사문화에 대한 인식을 고취시키고 있다. 또한, 역량 있는 작가를 발굴하기 위해 매년 강남미술대전, 강남서예문인화대전을 개최하고 있으며, 전통예술경연대회를 통하여 우리문화를 보급하는데 앞장서고 있다.미래의 버팀목이 될 청소년들의 문화적 가치를 함양시키기 위해 강남독서대전을 운영하고 있다.</span></p><p><span style=""color: rgb(69, 74, 95); font-family: Poppins, system-ui, -apple-system, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;""><br></span></p><p><span style=""color: rgb(69, 74, 95); font-family: Poppins, system-ui, -apple-system, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;""><br></span><img src=""/image/59"" style=""width: 50%;""><br></p>";"2021-12-23 14:43:08";0;0;"강남 문화원 후기";2;"/image/59";"kskyo1775@naver.com";"/image/56";30
87;"명사수";"<p><span style=""color: rgb(69, 74, 95); font-family: Poppins, system-ui, -apple-system, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">무의도 중심에서 해발 230m의 높이로 우뚝 솓아 있는 산으로 등산을 좋아하는 사람이라면 꼭 한번은 가볼만한 용유지역 명소이다. 산 정상에서 탁 트인 서해바다를 볼 수 있으면, 멀리 인천국제공항, 인천대교가 한눈에 보이고, 무의도 주변 실미해변, 하나개 해수욕장 등 무의도의 아름다운 경관을 감상할 수 있다. 하지만 산이 높지 않다고 만만히 보아서는 안되며, 등산장비를 제대로 갖추고 올라야 한다.</span></p><p><span style=""color: rgb(69, 74, 95); font-family: Poppins, system-ui, -apple-system, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;""><br></span></p><p><span style=""color: rgb(69, 74, 95); font-family: Poppins, system-ui, -apple-system, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;""><br></span><img src=""/image/60"" style=""width: 50%;""><br></p>";"2021-12-23 14:47:20";0;0;"국사봉 후기에요";0;"/image/60";"kskyo1775@naver.com";"/image/56";30
88;"명사수";"<p><span style=""color: rgb(69, 74, 95); font-family: Poppins, system-ui, -apple-system, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">뉴욕에 센트럴파크, 런던에 하이드파크가 있다면 서울에는 여의도공원이 있다. 27년간 검은 아스팔트로 뒤덮여 있던 여의도 광장이 숲과 잔디, 물이 어우러진 도심공원으로 새롭게 태어났다. 1997년 4월 10일 공원화를 위한 첫삽이 떠올려진 이후 1998년 10월 31일부터 부분적으로 공개되었고 1999년 2월 완전히 개장되었다. 여의도공원은 도심에서 쉽게 자연을 접할 수 있는 녹색공간으로 어린이에서 노인에 이르기까지 모든 시민들이 여가와 휴식, 산책과 운동뿐만 아니라 각종 문화행사를 즐길 수 있는 장소이다.</span><img src=""/image/61"" style=""width: 50%;""><br></p>";"2021-12-23 14:48:14";0;0;"여의도 공원 너무 추워요! 가지마세요!";0;"/image/61";"kskyo1775@naver.com";"/image/56";30
90;"헬로준";"<h1><b>제주도에서 바닷가 시시랑 바닷가 투어를 했어요~</b></h1><h1><b><br></b><b>강아지들도 엄청 좋아해요~</b></h1><h3><img style=""width: 25%;"" src=""/image/67""><b>&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; 아이스크림에 빠진 시시</b></h3><h3><img src=""/image/70"" style=""width: 50%;""><b><br></b></h3>";"2021-12-23 14:52:35";0;0;"시시랑 바닷가 투어";12;"/image/67";"hello@hello.com";"/image/53";20
91;"oldboy";"<p>경포해수욕장을 가다&nbsp;</p>";"2021-12-24 13:50:02";0;0;"경포해수욕장";1;"";"oldboy@oldboy.com";"";70
92;"헬로준";"<p>지금 산방산 유채꽃 절정입니다~</p><p>진짜 이뻐요 꼭 들러보세요~</p><p><img src=""/image/73"" style=""width: 50%;""><br></p>";"2021-12-28 15:15:50";0;0;"제주도 산방산 유채꽃 절정!!";2;"/image/73";"hello@hello.com";"/image/53";20
94;"케이케이";"<p><img src=""https://lh3.googleusercontent.com/proxy/fnsC6wZy1wORGGpU6HF8iwAhUOUcn7bM-ia7Xso3wFcz9Bj3NY0qhrseeeeRFvP05m0gW3uu3mOpq7BnDNlWZWjZbA"" style=""width: 512px;""><br></p><p><br></p><p>제 사촌이 정말 좋아하더라구요!!</p><p>추천합니다!!</p>";"2021-12-28 16:21:59";0;0;"아이들과 함께 가기 좋아요~";1;"https://lh3.googleusercontent.com/proxy/fnsC6wZy1wORGGpU6HF8iwAhUOUcn7bM-ia7Xso3wFcz9Bj3NY0qhrseeeeRFvP05m0gW3uu3mOpq7BnDNlWZWjZbA";"spacekay@kakao.com";"/image/52";20
